part,source,target,weight,seed,auprc,auroc
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,7,0.1612,0.6951
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,8,0.1609,0.6941
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,9,0.1613,0.6974
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,10,0.1592,0.6947
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,11,0.1651,0.6986
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,12,0.1626,0.6953
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,13,0.1626,0.6993
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,14,0.1587,0.6941
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,15,0.1622,0.6947
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,16,0.1563,0.6916
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,17,0.1598,0.6928
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,18,0.1555,0.6938
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,19,0.1588,0.6941
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,0,0.1609,0.6908
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,1,0.1627,0.6915
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,2,0.1619,0.694
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,3,0.1615,0.6934
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,4,0.1693,0.6995
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,5,0.1665,0.6927
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,6,0.1652,0.6975
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,7,0.1649,0.6945
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,8,0.1636,0.692
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,9,0.1631,0.6959
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,10,0.161,0.6944
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,11,0.1627,0.6937
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,12,0.1633,0.6971
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,13,0.1653,0.6948
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,14,0.1589,0.6911
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,15,0.1637,0.6938
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,16,0.1627,0.6932
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,17,0.1606,0.6924
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,18,0.1585,0.69
loco_weight,HAP1+MDA-MB-231,K562,control posrate x2,19,0.158,0.692
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,0,0.1535,0.6903
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,1,0.1571,0.6927
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,2,0.1558,0.689
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,3,0.1593,0.695
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,4,0.1592,0.6926
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,5,0.1573,0.6934
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,6,0.1587,0.6905
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,7,0.1551,0.6905
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,8,0.1583,0.6938
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,9,0.1602,0.6969
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,10,0.156,0.6887
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,11,0.1609,0.6965
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,12,0.1581,0.6935
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,13,0.1578,0.6925
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,14,0.1528,0.69
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,15,0.1577,0.6928
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,16,0.1578,0.6947
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,17,0.1567,0.6946
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,18,0.1566,0.6921
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x3,19,0.1559,0.6932
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,0,0.1613,0.6928
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,1,0.1613,0.6915
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,2,0.1612,0.6946
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,3,0.1607,0.6925
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,4,0.1674,0.6968
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,5,0.1654,0.6967
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,6,0.1648,0.6954
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,7,0.1653,0.6962
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,8,0.1638,0.6923
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,9,0.165,0.6969
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,10,0.1617,0.6935
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,11,0.1644,0.6961
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,12,0.1609,0.6958
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,13,0.1634,0.6961
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,14,0.1615,0.694
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,15,0.1602,0.6942
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,16,0.1605,0.6913
loco_weight,HAP1+MDA-MB-231,K562,control posrate x3,17,0.1594,0.6934
